"bpid","chnname","korname","family_clan","birth","death","plastic"
"G002+AKS-KHF_12C815BC15FFFFB1621X0","鄭檏","정박","해주(海州)",1621,1692,"silver"
"G002+AKS-KHF_12AC15C6B4FFFFB1773X0","姜橒","강운","진주(晉州)",1773,1834,"plastic"
"G002+AKS-KHF_13C774D589AC74B1588X0","李行健","이행건","전의(全義)",1588,1654,"silver"
"G002+AKS-KHF_12ACBDD63CFFFFB1498X0","慶渾","경혼","청주(淸州)",1498,1568,"silver"
"G002+AKS-KHF_12C870C815FFFFB1551X0","趙挺","조정","양주(楊州)",1551,1629,"silver"
"G002+AKS-KHF_13C774AE30C5F0B1783X0","李紀淵","이기연","전주(全州)",1783,,"silver"
"G002+AKS-KHF_13ACFDC790D638U9999X0","郭自湖","곽자호","미상(未詳)",,,"plastic"
"G002+AKS-KHF_12C720D68CFFFFB1740X0","柳櫰","유회","진주(晉州[土])",1740,,"plastic"
"G002+AKS-KHF_13D669BCF4C5F0B1838X0","黃普淵","황보연","창원(昌原)",1838,,"silver"
"G002+AKS-KHF_13C815ADDCC0BCB1858X0","鄭奎三","정규삼","진양(晉陽)",1858,,"plastic"
"G002+AKS-KHF_13C724C11DC6B0B1786X0","尹錫祐","윤석우","파평(坡平)",1786,,"plastic"
"G002+AKS-KHF_13AE40C11CAD6CB1725X0","金叙九","김서구","풍산(豊山)",1725,,"plastic"
"G002+AKS-KHF_13C774ACC4ACF5U9999X0","李季恭","이계공","성주(星州)",,,"silver"
"G002+AKS-KHF_12C870CC38FFFFB1473X0","趙參","조삼","함안(咸安)",1473,,"silver"
"G002+AKS-KHF_13D64DC131C870B1745X0","洪聖肇","홍성조","남양(南陽[唐])",1745,,"plastic"
"G002+AKS-KHF_13C815ACBDC6B0U9999X0","鄭景祐","정경우","영일(迎日)",,,"plastic"
"G002+AKS-KHF_13AD8CB2ECC218B1469X0","權達手","권달수","안동(安東)",1469,1504,"silver"
"G002+AKS-KHF_13C724C9C0B0A8B1587X0","尹芝男","윤지남","파평(坡平)",1587,,"plastic"
"G002+AKS-KHF_13C870C601C21CB1725X0","趙榮順","조영순","양주(楊州)",1725,1775,"silver"
"G002+AKS-KHF_12C774AD35FFFFB1551X0","李𥕏","이괵","광주(廣州)",1551,1594,"silver"
"G002+AKS-KHF_13C774C21CC99DU9999X0","李順曾","이순증","영천(永川)",,,"silver"
"G002+AKS-KHF_12CD5CACBDFFFFB1683X0","崔憼","최경","전주(全州)",1683,,"plastic"
"G002+AKS-KHF_13C7A5C11DBB35B1833X0","張錫默","장석묵","인동(仁同)",1833,,"plastic"
"G002+AKS-KHF_12AD8CD610FFFFB1787X0","權馦","권혐","안동(安東)",1787,,"silver"
"G002+AKS-KHF_12C784BCF5FFFFB1521X0","林復","임복","나주(羅州)",1521,1576,"silver"
"G002+AKS-KHF_13C774C601C2DDB1749X0","李英埴","이영식","함평(咸平)",1749,1812,"silver"
"G002+AKS-KHF_13AE40C9C4D615B1854X0","金鎭衡","김진형","연안(延安)",1854,,"plastic"
"G002+AKS-KHF_12AC15B3C4FFFFB1793X0","姜𣜦","강도","진주(晉州)",1793,,"plastic"
"G002+AKS-KHF_13C1A1C751D615B1539X0","宋應泂","송응형","은진(恩津)",1539,1592,"silver"
"G002+AKS-KHF_13C5ECC131AC70B1649X0","呂聖擧","여성거","성산(星山)",1649,1700,"silver"
