"bid","bpid","affilliation","rank","competitors","exam_type","pass_year","king","lid","previous","exam_class","class_rank","pass_date"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012753&category=dirSer","G002+AKS-KHF_13C784C778C218B1809X0","문과",12,38,"식년시",1846,"헌종",58,"유학(幼學)","병과(丙科)",2,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012755&category=dirSer","G002+AKS-KHF_12C1A1B3C8FFFFB1777X0","문과",14,38,"식년시",1846,"헌종",73,"유학(幼學)","병과(丙科)",4,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012759&category=dirSer","G002+AKS-KHF_13C870C815C870B1809X0","문과",18,38,"식년시",1846,"헌종",251,"유학(幼學)","병과(丙科)",8,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012761&category=dirSer","G002+AKS-KHF_13C774ADDCBC31B1819X0","문과",20,38,"식년시",1846,"헌종",109,"유학(幼學)","병과(丙科)",10,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012763&category=dirSer","G002+AKS-KHF_13C774C21CC120B1807X0","문과",22,38,"식년시",1846,"헌종",276,"유학(幼學)","병과(丙科)",12,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1427_000522&category=dirSer","G002+AKS-KHF_12ACFDC21CFFFFU9999X0","문과",10,20,"친시",1427,"세종",96,"생원(生員)","을과2등(乙科二等)",7,"1427-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012764&category=dirSer","G002+AKS-KHF_13C774BA85B85CB1801X0","문과",23,38,"식년시",1846,"헌종",281,"유학(幼學)","병과(丙科)",13,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012765&category=dirSer","G002+AKS-KHF_13C724C131C9C4B1810X0","문과",24,38,"식년시",1846,"헌종",311,"유학(幼學)","병과(丙科)",14,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012766&category=dirSer","G002+AKS-KHF_13D55CACC4C2ECB1793X0","문과",25,38,"식년시",1846,"헌종",312,"유학(幼學)","병과(丙科)",15,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012767&category=dirSer","G002+AKS-KHF_13AE40ACBDC720B1814X0","문과",26,38,"식년시",1846,"헌종",297,"유학(幼學)","병과(丙科)",16,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012757&category=dirSer","G002+AKS-KHF_13C774D601C900B1820X0","문과",16,38,"식년시",1846,"헌종",227,"유학(幼學)","병과(丙科)",6,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012769&category=dirSer","G002+AKS-KHF_13AE40C885D658B1814X0","문과",28,38,"식년시",1846,"헌종",183,"유학(幼學)","병과(丙科)",18,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012770&category=dirSer","G002+AKS-KHF_13BB38AE30C6B1B1819X0","문과",29,38,"식년시",1846,"헌종",157,"유학(幼學)","병과(丙科)",19,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012771&category=dirSer","G002+AKS-KHF_13C870C22DC870B1819X0","문과",30,38,"식년시",1846,"헌종",181,"유학(幼學)","병과(丙科)",20,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012772&category=dirSer","G002+AKS-KHF_13C815C9C0C120B1789X0","문과",31,38,"식년시",1846,"헌종",266,"유학(幼學)","병과(丙科)",21,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012775&category=dirSer","G002+AKS-KHF_13AE40C11DB9B0B1816X0","문과",34,38,"식년시",1846,"헌종",181,"유학(幼學)","병과(丙科)",24,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012776&category=dirSer","G002+AKS-KHF_13C548C5FCC9C4B1827X0","문과",35,38,"식년시",1846,"헌종",157,"유학(幼學)","병과(丙科)",25,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012778&category=dirSer","G002+AKS-KHF_13AD8CAD50C900B1803X0","문과",37,38,"식년시",1846,"헌종",149,"유학(幼學)","병과(丙科)",27,"1846-07-01"
