id1,namehg1,namehj1,year,prevdegreehg,prevdegreehj,source,courtesynamehg,courtesynamehj,ancestralseathg,choronymhg,ancestralseathj,choronymhj,addresshg,addresshj,pennamehg,pennamehj,posthumoustitlehg,posthumoustitlehj,error
13199,김영철,金永哲,1872,진사,進士,MTPA 163B 4C; PSTP 16-015A,문경,文卿,광산,광산 김,光山,光山 金,경,京,,,,,
13200,채동하,蔡東夏,1872,유학,幼學,MTPB 231A 3BP,성우,聖禹,평강,평강 채,平康,平康 蔡,홍주,洪州,,,,,
13201,민희태,閔羲泰,1872,유학,幼學,MTPB 146A 4D,,,여흥,여흥 민,驪興,驪興 閔,통진(通津),墓在 通津,,,,,
13202,이복영,李復永,1872,진사,進士,MTPA 062A 2D,승여,昇汝,전주,전주 이,全州,全州 李,경,京,,,,,
13203,신일영,申一永,1872,유학,幼學,MTPB 049A 4A; PSTP 34-043A,대경,大敬,평산,평산 신,平山,平山 申,경,京,,,,,
13204,심동헌,沈東獻,1872,유학,幼學,MTPB 122A 2C; PSTP 35-049A,,,청송,청송 심,靑松,靑松 沈,경,京,,,,,
13205,조익영,趙翼永,1872,진사,進士,"MTPB 072B 1B; PSTP 16-039A, 24-030B",공기,公箕,풍양,풍양 조,豊壤,豊壤 趙,경,京,,,,,
13206,심상만,沈相萬,1872,유학,幼學,"MTPB 127A 1C; PSTP 08-067A, 35-043B",,,청송,청송 심,靑松,靑松 沈,경,京,,,,,
13207,남숙희,南肅熙,1872,생원,生員,MTPB 157B 1C; PSTP 37-023B,사초,史初,의녕,의녕 남,宜寧,宜寧 南,경,京,,,,,
13208,김명래,金命來,1872,유학,幼學,MTP NL,,,김해,김해 김,金海,金海 金,평양,平壤,,,,,
13209,안긍원,安兢遠,1872,진사,進士,MTPB 134A 1C,,,광주,광주 안,廣州,廣州 安,광주,廣州,,,,,
13210,한장석,韓章錫,1872,진사,進士,"MTPB 101A 4C; PSTP 13-034B, 31-050A",치수,稚綏,청주,청주 한,淸州,淸州 韓,경,京,,,,,
